Country Name,Country Code,Indicator Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chad,TCD,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4964,4964,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,NA,NA,NA,2427,2427,2427,2427,NA,NA,NA,NA,NA,NA,NA,7863,NA,NA,NA,NA,NA,NA,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,11768,NA
Chile,CHL,Constitution Length (words),10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10861,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10583,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986,10986,11149,11149,11321,11321,11321,11321,11609,11609,11609,11609,11727,11727,11727,14379,19026,19026,19026,19026,19026,19026,19026,19026,19026,25299,25299,25299,25299,25299,25299,25299,25299,25299,25360,25360,25879,25879,25879,25879,25879,25975,28500,28600,28650,28845,28832,28832,28859,28859,25649,25649,25649,25649,25649,25649,25649,25821,25821,25821,25821,25821,25821,25821
China,CHN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,1757,1757,2577,2577,NA,NA,NA,NA,NA,NA,NA,5788,5788,5788,5788,5788,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,7167,7167,1947,1947,1947,1947,1947,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,2946,2946,2946,5400,5400,5400,5400,10707,10707,10707,10707,10707,10707,10775,10775,10775,10775,10775,10745,10745,10745,10745,10745,10745,10794,10794,10794,10794,10794,10960,10960,10960,10960,10960,10960,10960,10960,10960,10960,10960,10960,10960,10960,10960
Colombia,COL,Constitution Length (words),13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,13033,50540,50540,50540,50540,50540,50540,50540,50540,50540,50540,50540,50540,50540,50540,46902,46902,46902,46902,46902,46902,46902,46902,46902,46902,46902,46902,46902,46902
Comoros,COM,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2316,2316,2316,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,5865,7710,7710,7710,7710,8358,8358,8358,8358,8358,3992,3992,3992,3992,3992,3992,3992,3992,6185,6185,6185,6185,6185,6185,6185,6185,6185,6185
Costa Rica,CRI,Constitution Length (words),7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,7585,17245,17245,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,8485,9453,9453,9453,9453,9453,NA,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705,16705
Côte d'Ivoire,CIV,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3719,3719,3719,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,3816,NA,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,7897,11772,11772,11772
Croatia,HRV,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9478,9478,9478,9478,9478,9478,9344,9344,9344,12839,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898,10898
Cuba,CUB,Constitution Length (words),NA,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,8895,NA,22682,12204,12204,12204,12204,12204,35654,35654,35654,35654,35654,35654,35654,35654,35654,35654,35654,35654,30860,NA,NA,NA,NA,NA,NA,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,32373,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893
Cyprus,CYP,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36199,36592,36592,36592,36592,36592,36592,36592,36581,36581,36581,36581,36581,36581,36419,36419,36419,36419,36811,36811,36811,36811,37006,37006,37006,37006,37006,37006,37006,37006,37006
Czechia,CZE,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12170,12170,12170,12170,12170,12170,12170,12170,12170,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580,14580
Denmark,DNK,Constitution Length (words),4408,4408,4408,4408,4408,4408,4408,4408,4408,4408,4408,4408,4408,4408,4408,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,5395,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221,6221
Djibouti,DJI,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,5969,6666,6666,6666,6666,6666,6666,6666,6666,6666
Dominica,DMA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078,36078
Dominican Republic,DOM,Constitution Length (words),9262,9262,9262,9262,9262,9262,9262,9211,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,7697,8693,8693,8693,8261,8261,7349,7349,7349,7349,7349,8020,8020,8020,8020,8020,8020,8020,8020,NA,NA,NA,NA,NA,8988,8988,8988,8988,8988,8988,8988,8988,11126,11126,11126,11126,11126,11126,13636,10952,13898,13898,13898,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,11726,12161,12161,12161,12161,12161,12161,12161,12161,12129,12129,12129,12129,12129,12129,12129,12129,29711,29711,29711,29711,29711,29970,29970,29970,29970
Ecuador,ECU,Constitution Length (words),9564,9564,9564,9564,9564,9564,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,9623,14340,14340,14340,14340,14340,14340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15911,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,17973,21903,21903,21903,NA,NA,NA,NA,NA,NA,NA,NA,12022,12022,12022,12022,12022,12022,13100,13100,13100,13100,13100,13100,13100,13100,13100,14587,14587,14587,16731,19520,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,54555,54555,54555,54555,54555,54555,54555,54555,54555,54555,54555
El Salvador,SLV,Constitution Length (words),8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,8901,14500,14500,14500,14500,14500,14500,NA,NA,NA,NA,NA,15777,15777,15777,15777,15777,15777,15777,15777,15777,15777,15777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823,22823
Equatorial Guinea,GNQ,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5334,5334,5334,5334,5334,3307,3307,3307,3307,3307,3307,3307,3307,3307,10093,10093,10093,10093,10093,10093,10093,10093,10093,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575,5575
Eritrea,ERI,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753,6753
Estonia,EST,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2407,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,3612,NA,NA,NA,NA,13327,13327,13327,13327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12850,12850,12850,12850,12850,12850,12850,12850,12850,12850,12850,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344,11344
Ethiopia,ETH,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,8961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7582,7582,7582,7582,1381,1381,1381,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630
Fiji,FJI,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,39153,37520,37520,37520,37520,37520,37520,37520,32873,32873,32873,32873,32873,32873,32873,32873,32873,32873,32873,32873,NA,NA,NA,NA,40773,40773,40773,40773,40773,40773
Finland,FIN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640,12640
France,FRA,Constitution Length (words),2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,2347,NA,NA,NA,NA,NA,NA,7059,7059,7059,7059,7059,7059,7059,7059,7340,7340,7340,7340,7318,7318,7443,7443,7777,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7770,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,7780,8180,9100,9100,6906,7141,7141,7212,7370,7594,7594,7594,9302,9302,9452,9452,9452,10180,10180,10180,10180,10180,10180,10180,10180,10180,10180,10180
Gabon,GAB,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6054,5734,5734,5734,5734,5734,5734,5734,5734,5734,5734,5734,5734,5734,5734,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,5925,10382,10382,10382,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804,11804
Georgia,GEO,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5211,5211,5211,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490,11490
Germany,DEU,Constitution Length (words),7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,7823,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,10880,NA,NA,NA,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22378,22378,22378,22378,22378,22378,22378,22547,22547,22425,23238,24406,24507,24507,24596,24910,24910,24948,24910,24952,24952,24952,24952,26117,26117,26241,27236,27362,27362,27379,27379,27379,27379,27379,27379,27379
Ghana,GHA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16495,NA,NA,21181,21181,21181,6070,6070,6070,6070,6018,6018,NA,NA,NA,41899,41899,41899,NA,NA,NA,NA,NA,NA,NA,49707,49707,NA,13570,13570,13570,13570,13570,13570,13570,13570,13570,13570,56092,56092,56092,56092,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985,53985
Greece,GRC,Constitution Length (words),4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,4518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,10840,18028,18028,18028,18028,18028,18028,NA,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,27177,26989,26989,26989,26989,26989,26989,26989,26989,26989,26989,26989
Grenada,GRD,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33370,33370,33370,33370,33370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737,33737
Guatemala,GTM,Constitution Length (words),5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,NA,19277,19277,19277,19277,19277,19277,19277,19277,19277,1071,1071,18979,18979,18979,18979,18979,18979,18979,NA,NA,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,25223,11410,11410,11410,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692,28692
Guinea,GIN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,1877,4826,4826,NA,NA,NA,NA,NA,NA,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,12707,12707,12707,12707,12707,12707,12707,12707,12707
Guinea-Bissau,GNB,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2601,2601,2601,2601,2601,2601,2601,2601,3245,3245,3245,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820,7820
Guyana,GUY,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33469,33469,33469,33469,39559,39559,39559,39559,39559,39559,39559,39559,39559,39559,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221,46221
Haiti,HTI,Constitution Length (words),9411,9411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4942,4942,4942,4942,4942,4942,4942,4942,4942,4942,4942,8664,NA,NA,8664,10161,10161,10161,10161,10161,10161,10161,9756,9756,9756,9756,9756,9756,9756,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12473,12473,12344,12344,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,17396,18488,18488,18488,18488,18488,18488,18488
Honduras,HND,Constitution Length (words),7825,7825,7825,7825,7400,7400,7400,7400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13316,13316,13316,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,9868,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,10163,19469,19469,19469,19469,19469,19469,19469,19469,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,21357,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23376,23434,23434,23434,23434,23434,23434,23434
